200_100_1,894637,10.999752759933472,937149,4.5363 
300_50_10,898959,1.7962660789489746,996070,9.7494 
300_25_7,421094,1.767256498336792,485263,13.2236 
200_100_8,661026,0.5363786220550537,782443,15.5177 
200_100_5,656932,0.5894031524658203,786635,16.4883 
300_25_4,357122,1.7062125205993652,444759,19.7044 
300_50_3,700342,1.6851880550384521,875788,20.0329 
300_25_10,289504,1.680185079574585,383377,24.4858 
300_50_8,568292,5.71904444694519,767977,26.0014 
300_50_6,529457,37.17521405220032,734053,27.8721 
200_100_7,499595,10.57044792175293,701094,28.7407 
300_50_9,537579,37.072124004364014,761351,29.3914 
300_50_5,476172,1.4290001392364502,727820,34.5756 
300_25_2,172629,1.2909224033355713,281990,38.7819 
200_100_9,382989,0.5063571929931641,628992,39.1107 
300_25_6,144246,1.138803243637085,269782,46.5324 
300_25_9,123737,1.2828874588012695,250761,50.6554 
300_50_1,228914,1.0777761936187744,513379,55.4103 
200_100_10,143578,10.406334638595581,378442,62.0608 
300_50_4,106030,0.7135028839111328,307124,65.4765 
200_100_2,71968,0.2081465721130371,303058,76.2527 
200_100_4,16521,0.1180882453918457,100838,83.6163 
300_25_1,4595,27.069085359573364,29140,84.2313 
300_50_2,15162,0.3502640724182129,105543,85.6343 
200_100_6,4932,0.0890648365020752,41171,88.0207 
200_100_3,2933,0.06105542182922363,29367,90.0126 
300_50_7,3822,0.18312907218933105,43595,91.2329 
300_25_5,1114,0.14611554145812988,14988,92.5674 
300_25_8,681,0.1270887851715088,9343,92.7111 
